"""","和歌山県_全 建 築 物_棟　　数","和歌山県_全 建 築 物_前年(同月･期)比","和歌山県_居 住 専 用_棟　　数","和歌山県_居 住 専 用_前年(同月･期)比","和歌山県_産 業 用 （非居住専用）_棟　　数","和歌山県_産 業 用 （非居住専用）_前年(同月･期)比"
"平成17年","5623.0","-7.6","4404.0","-10.2","1219.0","3.1"
"平成18年","5857.0","4.2","4523.0","2.7","1334.0","9.4"
"平成19年","5360.0","-8.5","4331.0","-4.2","1029.0","-22.9"
"平成20年","5059.0","-5.615671641791039","4148.0","-4.225352112676063","911.0","-11.467444120505348"
"平成21年","4646.0","-8.163668709231075","3828.0","-7.714561234329793","818.0","-10.208562019758503"
"平成22年","4819.0","3.723633232888517","3907.0","2.063740856844305","912.0","11.491442542787283"
"平成23年","4622.0","-4.087985059140891","3773.0","-3.429741489633983","849.0","-6.9078947368420955"
"平成24年","4753.0","2.8342708784076223","3780.0","0.18552875695732496","973.0","14.605418138987034"
"平成25年","5540.0","16.557963391542188","4489.0","18.756613756613746","1051.0","8.016443987667003"
"平成26年","4685.0","-15.433212996389884","3706.0","-17.442637558476264","979.0","-6.850618458610853"
"平成19年1-3月","1202.0","-13.6","934.0","-15.1","268.0","-8.2"
"平成19年4-6月","1636.0","16.2","1295.0","18.4","341.0","8.6"
"平成19年7-9月","1158.0","-28.3","966.0","-23.0","192.0","-46.8"
"平成19年10-12月","1364.0","-5.4","1136.0","5.7","228.0","-37.9"
"平成20年1-3月","1223.0","1.7470881863560663","956.0","2.355460385438974","267.0","-0.3731343283582049"
"平成20年4-6月","1165.0","-28.789731051344745","984.0","-24.015444015444018","181.0","-46.9208211143695"
"平成20年7-9月","1480.0","27.80656303972367","1254.0","29.81366459627327","226.0","17.70833333333333"
"平成20年10-12月","1191.0","-12.68328445747801","954.0","-16.021126760563376","237.0","3.94736842105263"
"平成21年1-3月","1116.0","-8.748977923139819","914.0","-4.393305439330547","202.0","-24.344569288389522"
"平成21年4-6月","1150.0","-1.2875536480686662","982.0","-0.2032520325203251","168.0","-7.182320441988949"
"平成21年7-9月","1233.0","-16.689189189189193","985.0","-21.451355661881976","248.0","9.73451327433628"
